,article_id,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,like_r1,like_r2,like_r3,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article,countQuestionMarks
154,16011,http://www.medicalnewstoday.com/articles/21787.php,Yeast Finding Links Processes In Heart Disease And Cancer,Heart Disease,Heart Disease,Cancer / Oncology,,,3,4,2,4,2,4,4,3,2,3.0,2.0,3.0,,,,,,,"




By studying a little-known yeast too primitive to get diseases, Johns Hopkins researchers have uncovered a surprising 

link between two processes at play in  heart disease  and  cancer  in people.    
In experiments with yeast known as S. pombe, the researchers discovered that a gene that helps the organism make  cholesterol  

also helps it survive when oxygen is scarce. The finding, described in the March 25 issue of Cell, offers a new strategy for 

killing infectious yeast, but it also suggests that cells' efforts to make cholesterol and detect oxygen levels might be 

connected in people, too.    
""We were simply trying to establish that this yeast could be a model for studying cholesterol-related activities in human 

cells,"" says the study's leader, Peter Espenshade, Ph.D., assistant professor of cell biology in Johns Hopkins' Institute for 

Basic Biomedical Sciences. ""We certainly didn't expect to find a completely new role for this gene.""    
It's already well established that human cells can both make cholesterol and sense oxygen. In people, high levels of 

cholesterol in the blood are a major risk factor for heart disease, and many human cancer cells are able to survive despite 

being in tumors' oxygen-starved centers.    
""We don't know yet whether cholesterol production and oxygen sensing are connected in human cells, but now we're trying to 

find out,"" says Espenshade.    
In people, the gene in question, known as SREBP, controls other genes whose products help make or import cholesterol. 

Cholesterol-lowering drugs called statins mimic this gene's natural role by triggering cells to import more cholesterol, 

clearing the artery-clogging stuff from the blood.    
Despite the obvious medical relevance of SREBP, no one had ever looked at the equivalent system -- or even determined whether 

there was one -- in yeast, the simple, single-celled relatives with which we share many genes. Because yeast can be easily 

manipulated and studied, Espenshade figured they might be a good model for figuring out exactly how SREBP is turned on, what 

it does and how it's shut off -- if the organism has an equivalent process.    
Turning first to databases of the entire genetic sequences of various yeast, Espenshade sought yeast genes that looked like 

SREBP and its binding partner SCAP. Nothing turned up in the well-studied S. cerevisiae, or brewer's yeast, but S. pombe 

seemed to have the right stuff.    
Graduate student Adam Hughes then examined the role of these similar genes to prove that they in fact duplicate the human 

process. Indeed, the yeast gene they called sre1 triggered activation of cholesterol-producing genes, aided by a gene called 

scp1 that behaves like SCAP.    
As in humans, sre1 somehow gets turned on when cholesterol levels are low, increasing the cell's production of cholesterol. 

As cholesterol builds up in the cell, sre1 is gradually turned off.    
""Essentially, SREBP and sre1 both try to maintain an optimal level of cholesterol in the cells,"" says Espenshade.    
But, based on what he now knows, Espenshade suspects that the yeast use cholesterol levels to figure out whether there's 

enough oxygen around for biology as usual. Single-celled yeast can alter their biology to live without oxygen, and human 

cells can do so to a certain extent. Johns Hopkins researcher Gregg Semenza, M.D., Ph.D., discovered a number of years ago 

how human cells react to low oxygen levels, but that process has never been connected to cholesterol production.    
""Our cells can adjust to lowered oxygen by turning on a specific set of genes when oxygen levels drop [using a gene called 

HIF1-alpha],"" says Espenshade. ""While there's no known connection between this process and cholesterol production, our 

results in the yeast suggest that perhaps SREBP itself, or something in the cholesterol pathway, might also serve as an 

oxygen sensor for mammalian cells.""    
It makes sense, he says, that the yeast could use its cholesterol levels as an indirect measure of oxygen levels. The cell 

uses a few oxygen molecules each time it makes cholesterol, so lowered cholesterol levels could signal that there's not 

enough oxygen around to make it. And because low cholesterol levels automatically turn on the yeast's version of SREBP, it's 

an easy solution to have the same gene sound the alarm that the cell needs to adapt to low levels of oxygen.    
Espenshade says sre1's role in the yeast's production of cholesterol (actually a similar molecule called ergosterol) and 

sensing of oxygen might offer a new opportunity to kill infectious yeast and fungi that share the gene with S. pombe. 

   
""Without the sre1 gene, the yeast in our experiments died in low oxygen conditions,"" says Espenshade. ""Because low oxygen 

levels are common in infected tissues, if we can block infectious yeasts' SREBP pathway without affecting human cells' 

cholesterol pathways, we might be able to treat certain infections.""    
Espenshade and his team have found that infection-causing yeast Aspergillus, Neurospora, Cryptococcus and Ustilago share S. 

pombe's cholesterol-related genes, while S. cerevisae and the yeast Candida do not.    
The researchers were funded by the National Institute of General Medical Sciences, the National Heart, Lung and Blood 

Institute and the Burroughs Wellcome Fund. Authors on the paper are Hughes, Bridget Todd and Espenshade, all of Hopkins. 

Hughes and Todd are both graduate students in the Biochemistry, Molecular and Cell Biology program.    
On the Web:   
 http://www.cell.com     
Contact: Joanna Downer  
jdowner1@jhmi.edu  
410-614-5105  
Johns Hopkins Medical Institutions  
 http://www.hopkinsmedicine.org ",0
155,271358,http://www.medicalnewstoday.com/articles/313455.php,New immune cell subset associated with progression to type 1 diabetes,Diabetes,Diabetes,Immune System / Vaccines,,,4,3,1,2,4,3,4,4,4,2.0,2.0,4.0,,,,,,,"
A study conducted at the University of Eastern Finland revealed that a recently described T cell subset may have a central role in the development of type 1 diabetes. These so called follicular T helper cells were found to be increased at the onset of type 1 diabetes, and the phenomenon was linked with the presence of autoantibodies commonly associated with the disease.

Type 1 diabetes is an autoimmune disease where the immune system destroys the insulin-producing beta cells in the pancreas. Type 1 diabetes typically manifests in childhood and early adolescence. Diabetes-associated autoantibodies are highly predictive of type 1 diabetes risk and they can be typically detected in the blood of patients even years before the onset of the disease.

T cells are immune cells that have an important role orchestrating the functions of the immune system. Follicular helper T cells are a recently described subset of T cells that have a central role in activating B cells, which in turn are responsible for producing antibodies.

Since the emergence of autoantibodies is a common feature of type 1 diabetes development, it is plausible that follicular T helper cells have a role in the disease process. This notion is also supported by evidence recently generated in the murine model of type 1 diabetes.

In a study led by Academy Research Fellow Tuure Kinnunen, samples from the Finnish DIPP follow-up study were used. In the DIPP study, children with an increased genetic risk for developing type 1 diabetes are longitudinally followed for the development of the disease. In the current study, the frequency of blood follicular T helper cells was observed to increase close to the onset of type 1 diabetes. Moreover, the phenomenon was only observed in a subgroup of children that were positive for multiple diabetes-associated autoantibodies. This finding suggests a connection between the activation of follicular helper T cells and the activation of autoantibody-producing B cells in type 1 diabetes.

Taken together, the current results support the idea that follicular helper T cells have a role in the development of type 1 diabetes. Immune therapies that target these cells can therefore be envisioned to have potential in the prevention of type 1 diabetes.

The study also involved researchers from the Universities of Turku, Helsinki, Tampere and Oulu.
",0
156,37521,http://www.medicalnewstoday.com/articles/49307.php,Violence At Work Significantly Boosts Clinical Depression Risk,Depression,Depression,Public Health,,,1,4,2,3,4,3,5,4,4,5.0,3.0,3.0,,,,,,,"




Employees subjected to real or threatened violence at work run a major risk of becoming clinically depressed, indicates research in the Journal of Epidemiology and Community Health.
   
The magnitude of the risk was in direct proportion to the amount of workplace violence experienced, the study shows.
   
The findings are based on the occupations of more than 14,000 hospital patients between the ages of 18 and 65, who were being treated for  depression  or  stress  related disorders between 1995 and 1998.
   
These patients were then compared with 38, 000 people without mental ill health problems, but matched for age and sex. All participants were asked about their jobs and if they had been subjected to violence at work in the previous 12 months.
   
The prevalence of real and threatened violence was highest among those working in health, education, and social work sectors. Male employees were at greater risk of violence than women.
   
While most violence came from clients, patients, and pupils, around 5% of study participants with  mental health  problems said they were subjected to violent behaviour from their work colleagues.
   
Almost half said they had been subjected to more than one incident of violence or threatening behaviour in the preceding 12 months, and one in five said they had been subjected to both.
   
Exposure to violence boosted the risk of depression by 45% in women and 48% in men, compared with those in workplaces without any risk of violence.
   
Stress related disorders were around a third more likely in women and 55% more likely in men.
   
Threatening behaviour boosted the likelihood of depression by 48% in women and stress related disorders by almost 60% in men.
   
The magnitude of risk was directly proportional to the amount of violence experienced at work.
   
The authors say that other research suggests that being subjected to violence may over stimulate the autonomic nervous system, which then translates into an emotional disorder, even among those with stable personality traits.
   
The risk of psychiatric problems among employees exposed to violence is well recognised and reflected in guidance from the European Commission and the International Labour Organisation, they add.
   
\""Despite these efforts, there seems to be no decrease in work related violence, threats, and harassment,\"" they conclude.
   
###
   
[J Epidemiol Community Health 2006; 60: 771-5]
   
Contact: Emma Dickinson  
 BMJ-British Speciality Journals   ",0
157,267568,http://www.medicalnewstoday.com/articles/309617.php,"Parents and social media: do as I say, not as I do",Pediatrics / Children's Health,Pediatrics / Children's Health,Psychology / Psychiatry,,,2,2,1,3,3,1,4,2,2,1.0,3.0,3.0,,,,,,,"
Two-thirds of parents fear social media is bad for their child, yet they use it extensively themselves.

That is the conclusion of research by Dr Judith Ramsay from Manchester Metropolitan University and Dr Melody Terras and Fozia Yousaf from the University of the West of Scotland being presented today, Thursday 28 April 2016, to the annual conference of the British Psychological Society in Nottingham.

The researchers asked 107 parents of children aged five and above to complete a questionnaire examining the amount of time they spend using technology, watching television, listening to music and social networking, as well as their preferences and motivations for using technology.

The questionnaire also asked about their child's technology use and the impact of the use of technology on the parent-child relationship.

The results showed that parents engaged in a wide range of activities - watching television, gaming, mobile phone use and social media - and reported that their children engaged in a similar range. Two-thirds of parents reported using digital media to gain information, while acknowledging that information gained in this way is not always accurate.

A close relationship was found between how much parents watched television, read, played video games, used social networking sites, used their mobile phone and listened to music and how much their time children spent on the same activities.

Yet two-thirds of parents expressed the view that social media was harmful for their child.

Dr Judith Ramsay said: ""Our findings suggest parents are worried about their children's use of technology, which makes it interesting that their own use of it is has so much influence on their children.

""We need to raise parental awareness of the strong effect they have and this influence must also be taken into account by professionals developing policies that promote safe use of the internet for children.""",0
158,270664,http://www.medicalnewstoday.com/articles/312758.php,Fungi contribute to delayed healing of chronic wounds,Biology / Biochemistry,Diabetes,Dermatology,,,3,5,2,2,4,2,2,3,4,2.0,4.0,2.0,,,,,,,"
Researchers in Pennsylvania and Iowa have discovered that fungal communities found in chronic wounds can form mixed bacterial-fungal biofilms and can be associated with poor outcomes and longer healing times. Their report, the first deep characterization of the fungi found in diabetic foot ulcers, is published this week in mBio, an online open-access journal of the American Society for Microbiology.

The team followed 100 patients with diabetic foot ulcers - open wounds located on the bottom of the foot - during the course of 26 weeks, or until the wound healed or required amputation. Their findings highlight that fungal components of the microbiome can play a major role in hampering the healing of chronic wounds.

""Chronic wounds are a silent epidemic,"" says Elizabeth Grice, assistant professor of dermatology and microbiology at University of Pennsylvania in Philadelphia and senior author on the study. ""They usually occur in conjunction with another disorder such as diabetes or obesity, but once a chronic wound occurs, it requires a lot of healthcare and has a devastating effect on a patient's quality of life.""

The American Diabetes Association estimates that more than 7 million diabetics in the US will have a diabetic foot ulcer in their lifetime and 15 percent will end up with a lower limb amputation. Healthcare for chronic wounds in the US costs tens of billions of dollars each year.

Grice and postdoctoral researcher Lindsay Kalan wanted to know which fungal species make up the communities thriving deep inside a chronic wound and what roles they might play in impaired healing. This represents a ""huge missing piece"" of chronic wound research, says Grice.

All of the ulcer patients were given the same medical care. A team led by Sue Gardner, professor of nursing at University of Iowa, sampled patients' deep wound fluid every two weeks. Those samples were sent to Grice and Kalan for genetic sequencing and identification of the fungi residing in the wounds.

The team found that 80 percent of the wounds harbored fungi - much higher than previous estimates - from 284 different species. The most abundant fungus, Cladosporium herbarum, was found in 41percent of the samples and the human pathogen Candida albicans was next most abundant, in a little over one-fifth of the samples.

No single species of fungi was associated with poor outcomes, but rather mixed communities were associated with slow healing or complications such as bone infection and amputation. However, higher levels of ascomycetes, or sac fungi, at the initial swabbing were associated with wounds that took longer than 8 weeks to heal.  This hints that, in the future, doctors might be able to swab wounds to get a quick prediction of the time to heal.

Kalan looked at two patients' wounds more closely to determine if their stable communities of microbes could grow biofilms, which are thought to keep many chronic wounds festering.

She isolated the C. albicans yeast and Citrobacter freundii bacteria from a patient whose wound eventually healed and she isolated the fungus Trichosporon asahii and bacteria Staphylococcus simulans from a patient whose wound resulted in an amputation.  When she co-cultured these bacterial-fungal pairs in the laboratory, she found that both pairs formed a mixed biofilm.

""Lindsay showed very nicely that the fungi interact with the bacteria, potentially making biofilms within wounds,"" says Grice. ""You can't properly target treatment if you are missing that critical interaction.""

Kalan says the study is a first step toward better understanding chronic wounds and develop better ways to treat them: ""There are polymicrobial interactions within these wounds. It's important to look at the fungal and bacterial communities and how they interact with each other and the immune system to impair or promote healing.""
",0
159,36525,http://www.medicalnewstoday.com/articles/48072.php,New Mothers Should Be Screened Regularly For Postpartum Depression,Depression,Depression,Pregnancy / Obstetrics,,,2,3,1,4,4,3,4,3,5,2.0,2.0,4.0,,,,,,,"




Physicians should screen mothers for  postpartum depression  regularly for at least a year following childbirth to better identify women who develop symptoms throughout the year and those whose  depression  persists, University of Rochester Medical Center researchers say.
   
\""If you only screen early or if you only screen once, you will miss some,\"" said Linda Chaudron, M.D., an assistant professor of psychiatry, pediatrics and obstetrics and gynecology at the Medical Center who is leading a series of studies focusing on postpartum depression.
   
In a recent analysis of records from a pediatric clinic that uses a common postpartum questionnaire to screen mothers, Chaudron and the research group found that of women who scored high on a depression screening scale sometime in the postpartum year, 26 percent did not develop high symptom levels of postpartum depression until after three months and that 33 percent had high levels throughout the year. The results of the study are published in the July/August issue of the journal Ambulatory Pediatrics.
   
\""I was surprised at the high percentage of women who continued to be depressed throughout the year,\"" Chaudron said.
   
Earlier this year, New Jersey Governor Jon S. Corzine signed legislation requiring health care professionals providing postnatal care to screen new mothers for postpartum depression, and requiring health care professionals to educate women and their families about the disorder. Health care providers in several other states have adopted similar screening programs.
   
\""With the increased attention to screening, we ought to have a better idea about when to screen,\"" Chaudron said. \""There are a lot more women we need to be thinking about, identifying and helping get treatment.\""
   
Pediatricians and other physicians who refer mothers for treatment of depression also can help track how mothers are doing, even if they are in treatment.
   
\""They should find out how the mother is doing and whether she is receiving the proper treatment,\"" Chaudron said.
   
The study reported in Ambulatory Pediatrics was limited. The records covered only 49 mothers. But Chaudron said the report highlighted that women can develop new symptoms later in the year and can continue to have symptoms for many months.
   
According to the American Psychiatric Association, symptoms of postpartum depression include sadness, sluggishness,  fatigue , feelings of hopelessness, disturbances of sleep or appetite, lack of interest in the baby, uncontrollable crying, mood swings and fear of harming the baby. Many mothers also report significant  anxiety . Postpartum depression is different from \""baby blues,\"" a mild, short-lived depression that many women experience in the first few days or weeks following childbirth. Postpartum depression affects one in eight women and lasts more than two weeks. It can interfere with daily living for a longer period of time.
   
Medication and talk therapy are effective treatments for postpartum depression. \""Support groups also can decrease the isolation and stigma that depressed mothers can feel,\"" Chaudron said.
   
Understanding postpartum depression is critical to improving care for mothers and infants. Chaudron and her colleagues currently are conducting a variety of studies, including looking at the course of postpartum depression, exploring the relationship between postpartum depression and anxiety, and investigating the use of an  antidepressant  for the treatment of postpartum depression.
   
###
   
The National Institute of Mental Health funded the reported study and is supporting other postpartum studies by Chaudron. She also has funding from the Obsessive-Compulsive Foundation and Forest Laboratories Inc.
   
Contact: Michael Wentzel
  
 University of Rochester Medical Center ",0
160,30874,http://www.medicalnewstoday.com/articles/40902.php,Transition To Menopause Associated With New Onset Of Depressive Symptoms,Menopause,Menopause,Depression,,,2,2,2,2,2,2,3,3,2,5.0,4.0,3.0,,,,,,,"




Women with no history of  depression  may be at an increased risk of new onset depressive symptoms and disorders as they transition to  menopause , according to two studies in the April issue of Archives of General Psychiatry, one of the JAMA/Archives journals.
   
As background information in the articles, the authors write that although the transition to menopause has long been considered a time of increased risk for developing depressive symptoms, there is little scientific evidence to connect the change in reproductive hormones, menopausal status and  mental health .
   
Ellen W. Freeman, Ph.D., from the University of Pennsylvania School of Medicine, Philadelphia, and colleagues evaluated data from 231 premenopausal women who had no history of depression at the start of the study. The participants ranged in age from 35 to 47 and were followed for eight years. At set intervals, blood samples were obtained to determine hormone levels and trained research interviewers obtained overall health and demographic information, including any menopausal symptoms experienced. Depressive symptoms were assessed by using the Center for Epidemiological Studies of Depression scale (CES-D), and the Primary Care Evaluation of Mental Disorders (PRIME-MD) was used to identify clinical diagnoses of depressive disorders.
   
""High CES-D scores were more than four times more likely to occur during a woman's menopausal transition compared with when she was premenopausal,"" the authors report. Changes in hormonal levels were significantly associated with high CES-D scores after adjusting for smoking, body mass index, premenstrual syndrome, hot flashes, poor sleep, health status, employment and marital status. According to the authors, ""a diagnosis of depressive disorder was two-and-a-half times more likely to occur in the menopausal transition compared with when the woman was premenopausal; the hormone measures were also significantly associated with this outcome.""
   
""In summary, our data indicate that transition to menopause and its changing hormonal milieu are strongly associated with both new onset of high depressive symptoms and new onset of diagnosed depressive disorders in women with no history of depression. Further follow-up study is needed to determine the extent to which these reports of depressed mood are limited to the perimenopausal period and to determine whether the identified risk factors are associated with more persistent depression,"" the authors conclude.
   
###
   
(Arch Gen Psychiatry. 2006;63:375-382. Available pre-embargo to journalists at  http://www.jamamedia.org/ )
   
Editor's Note: This study was supported by a grant from the National Institutes of Health, Bethesda, Md.
   
Early Transition to Menopause May Increase Risk for First Onset of Depression
   
In a related study, Lee S. Cohen, M.D., from Massachusetts General Hospital, Boston, and colleagues from the Harvard Study of Moods and Cycles examined the association between the menopausal transition and onset of first lifetime episode of depression among women with no history of mood disturbance. The Harvard Study of Moods and Cycles is a study of premenopausal women with and without a lifetime history of major depression.
   
The participants in this research were 460 premenopausal women, 36 to 45 years of age, with no lifetime diagnosis of major depression, residing in seven Boston area communities. The incidence of new onset of depression was based on structured clinical interviews, CES-D scores, and self-administered questionnaires.
   
""Premenopausal women with no lifetime history of major depression who entered the perimenopause were twice as likely to develop significant depressive symptoms as women who remained premenopausal, after adjustment for age at study enrollment and history of negative life events,"" the researchers found. ""The increased risk for depression was somewhat greater in women with self-reported vasomotor symptoms (for example, hot flashes).""
   
""The current study suggests that within a similarly aged population of women with no lifetime history of depression, those who enter the menopausal transition earlier have a significant risk for first onset of depression,"" the authors state. ""In the United States only, approximately 1.5 million women may reach menopause each year. A spectrum of symptoms and syndromes has been extensively described in women during the menopausal transition including severe vasomotor symptoms, loss of bone density, sexual dysfunction, a decline in cognitive function, and a potential increased risk for cardiovascular disease. Thus, the comorbidity of these problems with perimenopause-associated depression could affect many aging women, leading to a compounded burden of illness,"" the authors conclude.
   
(Arch Gen Psychiatry. 2006;63:385-390. Available pre-embargo to journalists at  http://www.jamamedia.org/ )
   
Editor's Note: Please see study for financial disclosures from authors. This research was supported by a grant from the National Institute of Mental Health, Bethesda, Md.
   
To contact Lee S. Cohen, M.D., call Sue McGreevey at 617-724-2764.
   
Contact: Olivia Fermano  
 JAMA and Archives Journals  ",0
161,31558,http://www.medicalnewstoday.com/articles/41747.php,Ginger Kills Ovarian Cancer Cells,Ovarian Cancer,Ovarian Cancer,Cancer / Oncology,,,4,5,5,4,5,5,2,2,4,4.0,3.0,4.0,,,,,,,"




Researchers from the University of Michigan Comprehensive Cancer Center have found that  ginger  not only kills  cancer  cells, it also prevents them from building up resistance to cancer treatment.  Ginger is already used as an effective remedy for nausea and  inflammation .    

The scientists are presenting their results in a poster session at the American Association for Cancer Research annual meeting.    

In this study, scientists applied a solution of ginger powder and water to  ovarian cancer  cells (similar ginger powder to what is sold at grocery stores, only a standardized research grade).  In every single one of their tests they found that the cancer cells died as a result of being in contact with the ginger solution - they either committed suicide (apoptosis) or they digested/attacked themselves (autophagy).    

If ginger can cause autophagy as well as apoptosis, it can prevent resistance to  chemotherapy  - something that is a common development with ovarian cancer patients.    

Whether or not this brings the same encouraging results in animal studies remains to be seen, say the researchers.    

Another great advantage of ginger is that there are hardly any reports of side effects.  It is also an easy product to present in capsule form.    

The researchers stressed that this is a preliminary study and further research is needed.    


Over 20,000 American women are expected to be diagnosed with ovarian cancer this year.  15,000 women are expected to die from ovarian cancer this year (in the USA).    
 Click Here   (resource no longer available at www.cancer.med.umich.edu)  for more information on Ovarian Cancer.    

This study was funded by the National Center for Complementary and Alternative Medicine and the National Institutes of Health.    Written by Christian Nordqvist ",0
162,383,http://www.medicalnewstoday.com/articles/4058.php,Sunscreen blamed for cancer,Cancer / Oncology,Cancer / Oncology,Melanoma / Skin Cancer,,,4,5,3,3,5,4,2,2,3,1.0,2.0,1.0,,,,,,,"




Sun worshippers may be increasing their risk of developing  skin cancer  by using sunscreens that encourage them to stay too long in the glare, researchers say.
   
 Sunburn  has long been regarded as an important cause of  melanoma , the most serious form of skin cancer, especially in children under 15. But some experts argue that the real risk comes from spending too long in the sun, and that using sun creams to protect against sunburn may instead promote the  cancer .
   
More than 5,000 cases of melanoma are reported each year in the UK and more than 1,600 deaths. The incidence of the disease has trebled in recent decades, which is thought to be linked with the growing popularity of foreign holidays.
   
Sunscreens have been heavily promoted as a means of protecting sunbathers but they may have the opposite effect, according to a report in the Journal of the National Cancer Institute.    It cites Antony Young of King's College, London, who said several large scale studies over the past few years had been 'unable to tease out any clear relationship' between sunscreen use and melanoma incidence. But some studies showed sunscreens increased the incidence of melanoma.
   
Research by Philippe Autier of the European Institute of Oncology in Milan suggests melanoma may be at least a two- stage process, with different kinds of solar radiation causing new moles in childhood and their growth into larger moles that later become cancerous.
   
Over the past decade, he has become convinced that sunburn is 'probably not part of the mechanism of cancer'. It may simply be a marker of people with sensitive skins who are more prone to skin cancer and who have spent too long in the sun. Sunburn may even protect against melanoma - by keeping people out of the sun.
   
Lying in the sun longer, especially at midday when the ultraviolet rays are strongest, may raise a person's exposure above what it would have been without sunscreen. It is this intense, intentional time in the sun that is most closely linked with melanoma risk, Dr Autier said.
   
The only way to reduce the risk of melanoma may be to hide from the sun in the shade, cover up with a hat and long-sleeved shirt, or stay indoors. ",0
163,272051,http://www.medicalnewstoday.com/articles/314156.php,Eating fiber keeps gut microbes from eating you,GastroIntestinal / Gastroenterology,GastroIntestinal / Gastroenterology,Nutrition / Diet,,,4,5,4,3,5,5,1,2,2,4.0,5.0,2.0,,,,,,,"
Our gut microbiota contains at least 1,000 different species of known bacteria, summing up 3 million genes.

We share one third of our gut bacteria with other people, while the composition in our other two thirds is unique to each one of us.  


Gut microbiota is important to our health because it contributes to a healthy immune system by acting as a barrier against other harmful microorganisms.It also helps with digesting foods that the stomach and small intestine have not been able to digest, as well as producing some vitamins. 


We have always been told by healthcare professionals and nutritionists that fiber is important to a healthy diet.But new research examines exactly what happens if our intestinal microbes do not receive the appropriate amount of fiber.  

The study was carried out by an international team of researchers led by Eric Martens, Ph.D., associate professor of microbiology at the University of Michigan Medical School, and Mahesh Desai, Ph.D., from the Luxembourg Institute of Health.


Researchers bred mice especially for the study. Mice were born and raised without any gut bacteria of their own. They then received a transplant of 14 bacteria that normally live in the human gut. 


Knowing the genetic signature of each bacterium, scientists were able to track the evolution of each one of them over time. They used a germ-free lab facility and genetic techniques that allowed them to see what bacteria were present and active under different dietary conditions.


Researchers infected the mice with a strain of bacteria that is the equivalent of E. coli in humans. Then they examined the impact of diets with varying amounts of fiber, as well as a diet with no fiber at all. 


Researchers tried a diet that was 15 percent fiber, made from minimally-processed grains and plants. They also tried a diet that was rich in prebiotic fiber - a purified form of soluble fiber that is similar to what some processed foods and dietary supplements contain. 

As revealed by the study - published in the journal Cell - the induced infection did not fully spread in mice that received the 15 percent-fiber diet. Their mucus layer remained thick, protecting them against the infection. 


But when scientists replaced the diet with one that lacked fiber altogether, gut microbes started eating the mucus. Even a few days of fiber deprivation led the bacteria to start invading the colon wall. 

Gut microbes rely on fiber for their food, and when they do not get it, they start eating away at your gut. This makes the gut more prone to infections.

The diet rich in supplement-like prebiotic fiber had the same results as the diet lacking fiber completely. The mucus layer started eroding as a result of the action of microbes.


""The lesson we're learning from studying the interaction of fiber, gut microbes and the intestinal barrier system is that if you don't feed them, they can eat you.""Eric Martens, Ph.D.
Researchers were also able to see what fiber-digesting enzymes the bacteria were making. They found 1,600 different enzymes that digest carbohydrates - a complexity similar to the one found in the human gut. 


A lack of fiber also triggered a higher production of such mucus-degrading enzymes.   


Scientists were able to look at images of the ""goblet"" cells on the colon wall that produce mucus. They could clearly see how the mucus layer got progressively thinner as the mice received less fiber. 

In a normal gut, mucus is being produced and degraded at a steady pace. But on a fiber-deprived diet, mucus was degraded at a much higher pace than it was produced. 

Examining the gut tissue of infected mice, researchers were able to see inflammation across a wide area of thinning, and even patchy tissue.     


Infected mice that received a diet rich in fiber also displayed inflammation but across a much smaller area. 

In the future, Martens and Desai hope to study the effect of different prebiotic combinations over a longer period of time, as well as the impact of an intermittent natural fiber diet. 


Researchers would also like to find the biomarkers that signal the state of the mucus layer in human guts, such as the number of mucus-degrading bacteria. 


Martens and Desai also wish to study the impact of a low-fiber diet on chronic illnesses such as inflammatory bowel disease. 
""While this work was in mice, the take-home message for humans amplifies everything that doctors and nutritionists have been telling us for decades: Eat a lot of fiber from diverse natural sources.

Your diet directly influences your microbiota, and from there it may influence the status of your gut's mucus layer and tendency toward disease. But it's an open question of whether we can cure our cultural lack of fiber with something more purified and easy to ingest than a lot of broccoli.""
Eric Martens, Ph.D.Learn about how sleep loss can alter the gut microbiota.

",0
